id,image_url,label,_split
72d86e48-2e39-4636-b36b-0c6750cee419,/home/ubuntu/data/equipboard/Bass Guitar/Fender Jazz Bass/image/8.jpg,1,train
fca21e3f-80d6-4026-8a85-a4343d36c6aa,/home/ubuntu/data/equipboard/Bass Guitar/Fender Jazz Bass/image/12.jpg,1,train
feb3eca1-1151-4148-8963-cff832c49441,/home/ubuntu/data/equipboard/Electric Guitar/Fender Telecaster/image/6.jpg,0,train
30690740-cc7e-4f4f-a726-542f8a59f76c,/home/ubuntu/data/equipboard/Electric Guitar/Fender Telecaster/image/7.jpg,0,train
1c05a056-df32-40ef-b45b-079a0f0a1f75,/home/ubuntu/data/equipboard/Bass Guitar/Fender Precision Bass/image/7.jpg,1,train
560f8bc2-b5f2-4e51-8777-80bb21d9f628,/home/ubuntu/data/equipboard/Bass Guitar/Fender Jazz Bass/image/13.jpg,1,train
898111ca-5582-4194-ae75-3604980b87ff,/home/ubuntu/data/equipboard/Bass Guitar/Fender Precision Bass/image/14.jpg,1,train
8993c750-b82e-4677-9fb0-85a0ce946456,/home/ubuntu/data/equipboard/Bass Guitar/Fender Jazz Bass/image/2.jpg,1,train
55c3f52b-a7be-4206-803b-4b0e880e0415,/home/ubuntu/data/equipboard/Electric Guitar/Fender Telecaster/image/0.jpg,0,train
b91cba1d-ae1e-4032-bb3e-32a897984516,/home/ubuntu/data/equipboard/Bass Guitar/Fender Jazz Bass/image/10.jpg,1,train
4f786c23-6021-4d87-9ff1-72fd0824f13b,/home/ubuntu/data/equipboard/Bass Guitar/Fender Precision Bass/image/8.jpg,1,train
1c0061ab-9db3-4033-99b4-ae4525e860b0,/home/ubuntu/data/equipboard/Electric Guitar/Gibson SG Standard Electric Guitar/image/9.jpg,0,train
8428b797-4344-49eb-b007-f5a420dbbb00,/home/ubuntu/data/equipboard/Bass Guitar/Fender Precision Bass/image/16.jpg,1,train
556947cc-f008-4c9c-9def-c46571d20bda,/home/ubuntu/data/equipboard/Bass Guitar/Fender Jazz Bass/image/6.jpg,1,train
